City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Flinders,AU,-34.58,150.86,62.01,44,6,1.83,clear sky
293,Progreso,MX,21.28,-89.67,77.0,95,100,4.56,overcast clouds
294,Neiafu,TO,-18.65,-173.98,77.0,83,20,10.29,few clouds
295,Saint George,US,37.1,-113.58,77.0,64,1,12.75,moderate rain
296,Zhangye,CN,38.93,100.45,87.08,14,2,7.85,clear sky
297,Soller,ES,39.77,2.72,75.0,78,28,4.7,scattered clouds
298,Mar Del Plata,AR,-38.0,-57.56,51.01,87,0,9.17,clear sky
299,Banjar,ID,-8.19,114.97,84.2,74,20,13.87,few clouds
300,Brigantine,US,39.41,-74.36,73.99,94,1,8.84,clear sky
301,Khuzhir,RU,53.19,107.34,59.92,75,79,13.98,broken clouds
302,Srednekolymsk,RU,67.45,153.68,39.24,78,100,10.76,overcast clouds
303,Laguna,US,38.42,-121.42,79.0,47,1,11.41,clear sky
304,Kijang,KR,35.24,129.21,91.4,49,20,5.82,few clouds
305,Buarcos,PT,40.17,-8.88,64.4,100,90,2.24,fog
306,Gloversville,US,43.05,-74.34,66.0,100,1,3.36,clear sky
307,Adrar,MR,20.5,-10.07,88.48,38,0,15.08,clear sky
308,Ilulissat,GL,69.22,-51.1,37.4,93,0,5.82,fog
309,Raymondville,US,26.48,-97.78,78.01,83,1,4.43,clear sky
310,Manaus,BR,-3.1,-60.02,77.0,73,0,6.93,clear sky
311,Pauini,BR,-7.71,-66.98,65.57,64,7,2.26,clear sky
312,Batagay-Alyta,RU,67.8,130.41,40.53,69,98,11.05,overcast clouds
313,Haines Junction,CA,60.75,-137.51,48.15,82,99,4.03,overcast clouds
314,Port Hawkesbury,CA,45.62,-61.35,64.4,72,40,14.99,scattered clouds
315,Bungu,TZ,-7.63,39.06,75.51,71,94,2.8,overcast clouds
316,Jiayuguan,CN,39.82,98.3,88.5,12,46,12.95,scattered clouds
317,Buchanan,LR,5.88,-10.05,73.4,94,75,5.82,light rain
318,Lusambo,CD,-4.97,23.45,77.11,74,100,1.95,overcast clouds
319,Sinnamary,GF,5.38,-52.95,77.22,90,29,6.98,scattered clouds
320,Olinda,BR,-8.01,-34.86,71.6,83,40,8.81,scattered clouds
321,Huarmey,PE,-10.07,-78.15,59.23,86,37,8.1,scattered clouds
322,Bambous Virieux,MU,-20.34,57.76,75.0,69,75,17.22,shower rain
323,Parker,US,32.77,-97.8,79.0,65,0,7.14,clear sky
324,Belaya Gora,RU,68.53,146.42,41.09,66,100,7.38,overcast clouds
325,Beyneu,KZ,45.32,55.2,76.23,34,100,8.79,overcast clouds
326,Fukue,JP,32.69,128.84,86.0,79,20,6.93,few clouds
327,Tecoanapa,MX,16.52,-98.75,76.26,91,100,6.96,light rain
328,Paris,FR,48.85,2.35,60.01,87,40,6.93,scattered clouds
329,Ayan,RU,56.45,138.17,57.85,71,100,4.29,overcast clouds
330,Elko,US,41.0,-115.5,78.8,21,1,4.92,clear sky
331,Kulhudhuffushi,MV,6.62,73.07,84.4,68,98,8.88,overcast clouds
332,Newtownards,GB,54.59,-5.69,48.99,100,90,4.7,mist
333,Iisalmi,FI,63.56,27.19,59.0,93,75,5.82,broken clouds
334,Kodino,RU,63.72,39.64,65.95,69,4,9.46,clear sky
335,Ahuimanu,US,21.44,-157.84,82.4,69,20,9.17,few clouds
336,Aberdeen,GB,57.14,-2.1,48.2,87,8,6.93,clear sky
337,Ahipara,NZ,-35.17,173.17,55.29,82,99,16.42,light rain
338,Marshall,US,34.38,-86.33,73.0,94,1,3.36,clear sky
339,Sivaki,RU,52.63,126.75,68.18,84,98,9.48,light rain
340,Gossaigaon,IN,26.45,89.99,90.52,66,25,4.45,light rain
341,Rodrigues Alves,BR,-7.74,-72.65,66.07,88,60,0.89,broken clouds
342,Mulchen,CL,-37.72,-72.23,48.0,76,90,5.82,overcast clouds
343,Victor Harbor,AU,-35.57,138.62,53.01,75,88,1.01,overcast clouds
344,Slupsk,PL,54.46,17.03,63.99,76,40,14.32,light rain
345,Hagenow,DE,53.43,11.18,61.0,90,86,5.99,overcast clouds
346,Carauari,BR,-4.88,-66.9,66.74,69,0,1.61,clear sky
347,Muros,ES,42.78,-9.06,61.0,85,100,1.99,overcast clouds
348,Saint-Honore,CA,48.53,-71.08,55.4,87,40,0.6,scattered clouds
349,Medicina,IT,44.48,11.64,72.0,88,20,4.7,few clouds
350,Ossora,RU,59.24,163.07,48.52,88,100,2.15,light rain
351,Zhanaozen,KZ,43.3,52.8,74.8,33,17,3.67,few clouds
352,Baykit,RU,61.67,96.37,69.57,52,76,3.42,light rain
353,Tocopilla,CL,-22.09,-70.2,57.47,66,54,3.4,broken clouds
354,Torbay,CA,47.67,-52.73,60.01,82,5,18.34,clear sky
355,Milazzo,IT,38.22,15.24,81.0,73,0,5.86,clear sky
356,Tevaitoa,PF,-16.78,-151.5,77.79,80,13,23.09,light rain
357,Sergeyevka,KZ,53.88,67.42,64.74,59,59,7.92,broken clouds
358,Manokwari,ID,-0.87,134.08,77.4,83,100,2.28,overcast clouds
359,Port Hedland,AU,-20.32,118.57,95.0,20,90,13.87,overcast clouds
360,San Cristobal,VE,7.77,-72.22,65.5,93,83,3.44,light rain
361,Esperance,AU,-33.87,121.9,62.6,72,75,10.29,broken clouds
